class,id,trial,sex,hand,handedness,distance,comments
7-101,9010,1,m,l,n,21,
7-101,9011,1,m,l,n,23,
7-101,9010,2,m,l,n,13,
7-101,9011,2,m,l,n,11,
7-101,9010,3,m,l,n,18,
7-101,9011,1,m,r,d,16,
7-101,9010,1,m,r,d,26,
7-101,9011,2,m,r,d,19,
7-101,9010,2,m,r,d,26,
7-101,9011,3,m,r,d,15,
7-101,9011,3,m,l,n,9,
7-101,9011,4,m,l,n,5,
7-101,9011,5,m,l,n,20,
7-101,9011,4,m,r,d,14,
7-101,9011,5,m,r,d,15,
7-101,9010,4,m,l,n,15,
7-101,9010,5,m,l,n,9,
7-101,9010,3,m,r,d,20,
7-101,9010,4,m,r,d,15,
7-101,9010,5,m,r,d,9,
7-101,9000,1,f,r,d,10,
7-101,9000,2,f,r,d,17,
7-101,9000,3,f,r,d,14,
7-101,9000,4,f,r,d,3,
7-101,9000,5,f,r,d,25,
7-101,9000,1,f,l,n,25,
7-101,9000,2,f,l,n,24,
7-101,9000,3,f,l,n,15,
7-101,9000,4,f,l,n,2,
7-101,9000,5,f,l,n,28,
7-101,9001,1,f,r,d,15,
7-101,9001,2,f,r,d,18,
7-101,9001,3,f,r,d,26,
7-101,9001,4,f,r,d,6,
7-101,9001,5,f,r,d,4,
7-101,9001,1,f,l,n,22,
7-101,9001,2,f,l,n,16,
7-101,9001,3,f,l,n,2,
7-101,9001,4,f,l,n,12,
7-101,9001,5,f,l,n,4,
7-101,9002,1,f,l,n,16.5,
7-101,9003,1,f,l,n,drop,
7-101,9003,1,f,r,d,17,
7-101,9002,1,f,r,d,23,
7-101,9003,2,f,l,n,18,
7-101,9002,2,f,l,n,drop,
7-101,9003,3,f,r,d,20,
7-101,9002,3,f,r,d,drop,
7-101,9003,4,f,r,d,20,
7-101,9002,4,f,r,d,24,
7-101,9003,5,f,r,d,18,
7-101,9002,5,f,r,d,24,
7-101,9003,6,f,r,d,17,
7-101,9002,2,f,l,n,23,
7-101,9003,7,f,r,d,13,
7-101,9002,6,f,r,d,20,
